"phenx","icd10_desc","combo","organ","subcombo"
"Other specified and unspecified gastrointestinal disorders","Mixed irritable bowel syndrome","GI disorder","GI","IBS"
"Other specified and unspecified gastrointestinal disorders","Non-celiac gluten sensitivity","GI disorder","GI","Intestinal disease"
"Other specified and unspecified gastrointestinal disorders","Other irritable bowel syndrome","GI disorder","GI","IBS"
"Other specified and unspecified hematologic conditions","Glucose-6-phosphate dehydrogenase (G6PD) deficiency without anemia",NA,NA,NA
"Other specified and unspecified liver disease","Hepatic fibrosis, unspecified","Liver","GI",NA
"Regional enteritis and ulcerative colitis","Left sided colitis with other complication","GI disorder","GI","Intestinal disease"
"Spondylopathies/spondyloarthropathy (including infective)","Cervical disc disorder with myelopathy, cervicothoracic region","Spine disc or myelopathy","MSK","Cervical"
"Spondylopathies/spondyloarthropathy (including infective)","Cervical disc disorder with myelopathy, unspecified cervical region","Spine disc or myelopathy","MSK","Cervical"
"Spondylopathies/spondyloarthropathy (including infective)","Cervicobrachial syndrome","Spine disc or myelopathy","MSK","Cervical"
"Spondylopathies/spondyloarthropathy (including infective)","Cervicocranial syndrome","Spine disc or myelopathy","MSK","Cervical"
"Spondylopathies/spondyloarthropathy (including infective)","Discitis, unspecified, lumbar region","Spine disc or myelopathy","MSK","Lumbar"
"Spondylopathies/spondyloarthropathy (including infective)","Dorsopathy, unspecified","MSK s/s","MSK","Pain"
"Spondylopathies/spondyloarthropathy (including infective)","Fusion of spine, lumbar region","Spine disc or myelopathy","MSK","Lumbar"
"Spondylopathies/spondyloarthropathy (including infective)","Intervertebral disc disorders with myelopathy, thoracic region","Spine disc or myelopathy","MSK","Thoracic"
"Spondylopathies/spondyloarthropathy (including infective)","Other cervical disc degeneration, cervicothoracic region","Spondylo(arthro)pathy","MSK","Cervical"
"Spondylopathies/spondyloarthropathy (including infective)","Other infective spondylopathies, lumbosacral region","Spine disc or myelopathy","MSK","Lumbar"
"Spondylopathies/spondyloarthropathy (including infective)","Other specified deforming dorsopathies, lumbar region","Spine disc or myelopathy","MSK","Lumbar"
"Spondylopathies/spondyloarthropathy (including infective)","Other specified deforming dorsopathies, site unspecified","Spine disc or myelopathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Other specified deforming dorsopathies, thoracolumbar region","Spine disc or myelopathy","MSK","Thoracic"
"Spondylopathies/spondyloarthropathy (including infective)","Other specified dorsopathies, thoracic region","MSK s/s","MSK","Pain"
"Spondylopathies/spondyloarthropathy (including infective)","Other spondylosis with myelopathy, thoracic region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Postlaminectomy syndrome, not elsewhere classified","MSK s/s","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Radiculopathy, cervicothoracic region","Radiculopathy","MSK","Cervical"
"Spondylopathies/spondyloarthropathy (including infective)","Radiculopathy, thoracolumbar region","Radiculopathy","MSK","Thoracic"
"Spondylopathies/spondyloarthropathy (including infective)","Schmorl's nodes, lumbosacral region","Schmorl's nodes","MSK","Lumbar"
"Spondylopathies/spondyloarthropathy (including infective)","Schmorl's nodes, thoracic region","Schmorl's nodes","MSK","Thoracic"
"Spondylopathies/spondyloarthropathy (including infective)","Spondylolisthesis, cervicothoracic region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Spondylolisthesis, thoracolumbar region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Spondylosis without myelopathy or radiculopathy, cervicothoracic region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Unspecified inflammatory spondylopathy, site unspecified","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Unspecified inflammatory spondylopathy, thoracic region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Ankylosing hyperostosis [Forestier], thoracic region","Spine disc or myelopathy","MSK","Thoracic"
"Spondylopathies/spondyloarthropathy (including infective)","Cervical disc disorder at C5-C6 level with radiculopathy","Spine disc or myelopathy","MSK","Cervical"
"Spondylopathies/spondyloarthropathy (including infective)","Cervical disc disorder at C6-C7 level with radiculopathy","Spine disc or myelopathy","MSK","Cervical"
"Spondylopathies/spondyloarthropathy (including infective)","Other cervical disc degeneration at C4-C5 level","Spine disc or myelopathy","MSK","Cervical"
"Spondylopathies/spondyloarthropathy (including infective)","Other cervical disc degeneration at C5-C6 level","Spine disc or myelopathy","MSK","Cervical"
"Spondylopathies/spondyloarthropathy (including infective)","Other cervical disc disorders, unspecified cervical region","Spine disc or myelopathy","MSK","Cervical"
"Spondylopathies/spondyloarthropathy (including infective)","Other cervical disc displacement at C4-C5 level","Spine disc or myelopathy","MSK","Cervical"
"Spondylopathies/spondyloarthropathy (including infective)","Other cervical disc displacement at C5-C6 level","Spine disc or myelopathy","MSK","Cervical"
