phenx,ICD10_desc,combo,Organ,count,Subcombo
Blindness and vision defects,"Transient visual loss, unspecified eye",Blind/visual defects,Eyes & Ears,4,
Blindness and vision defects,"Unqualified visual loss, both eyes",Blind/visual defects,Eyes & Ears,3,
Blindness and vision defects,"Unqualified visual loss, left eye, normal vision right eye",Blind/visual defects,Eyes & Ears,7,
Blindness and vision defects,"Unqualified visual loss, one eye, unspecified",Blind/visual defects,Eyes & Ears,2,
Blindness and vision defects,"Unqualified visual loss, right eye, normal vision left eye",Blind/visual defects,Eyes & Ears,6,
Blindness and vision defects,"Unspecified amblyopia, bilateral",Blind/visual defects,Eyes & Ears,1,
Blindness and vision defects,"Unspecified amblyopia, left eye",Blind/visual defects,Eyes & Ears,1,
Blindness and vision defects,"Unspecified amblyopia, right eye",Blind/visual defects,Eyes & Ears,1,
Blindness and vision defects,Unspecified disorder of binocular vision,Blind/visual defects,Eyes & Ears,2,
Blindness and vision defects,Unspecified night blindness,Blind/visual defects,Eyes & Ears,2,
Blindness and vision defects,Unspecified subjective visual disturbances,Blind/visual defects,Eyes & Ears,2,
Blindness and vision defects,Unspecified visual disturbance,Blind/visual defects,Eyes & Ears,53,
Blindness and vision defects,Unspecified visual field defects,Blind/visual defects,Eyes & Ears,6,
Blindness and vision defects,Unspecified visual loss,Blind/visual defects,Eyes & Ears,16,
Blindness and vision defects,"Visual discomfort, bilateral",Blind/visual defects,Eyes & Ears,3,
Blindness and vision defects,"Visual discomfort, left eye",Blind/visual defects,Eyes & Ears,1,
Blindness and vision defects,"Visual discomfort, unspecified",Blind/visual defects,Eyes & Ears,3,
"Diabetes mellitus, Type 2",Type 2 diabetes mellitus with other diabetic ophthalmic complication,Blind/visual defects,Eyes & Ears,4,
Abnormal findings without diagnosis,Abnormal levels of other serum enzymes,Abnormal Labs/Tests,Systemic,87,
Abnormal findings without diagnosis,"Other abnormal findings in specimens from other organs, systems and tissues",Abnormal Labs/Tests,Systemic,4,
Abnormal findings without diagnosis,"Unspecified abnormal finding in specimens from other organs, systems and tissues",Abnormal Labs/Tests,Systemic,20,
Fluid and electrolyte disorders,Acidosis,Fluid/electrolyte disorders,Systemic,70,
Fluid and electrolyte disorders,Alkalosis,Fluid/electrolyte disorders,Systemic,9,
Fluid and electrolyte disorders,Dehydration,Fluid/electrolyte disorders,Systemic,53,
Fluid and electrolyte disorders,"Fluid overload, unspecified",Fluid/electrolyte disorders,Systemic,34,
Fluid and electrolyte disorders,Hyperkalemia,Fluid/electrolyte disorders,Systemic,117,
